 ,Area,X,Y,BX,BY,Width,Height
1,17905,1457.500,971.500,1382,896,151,151
2,18893,1931.500,971.500,1854,894,155,155
3,18893,2404.500,978.500,2327,901,155,155
4,18168,2878.000,978.000,2802,902,152,152
5,18393,3344.500,988.500,3268,912,153,153
6,18168,1454.000,1445.000,1378,1369,152,152
7,18393,1930.500,1447.500,1854,1371,153,153
8,18624,2401.000,1451.000,2324,1374,154,154
9,19116,2872.000,1455.000,2794,1377,156,156
10,18893,3343.500,1455.500,3266,1378,155,155
11,17905,1452.500,1917.500,1377,1842,151,151
12,19365,1930.500,1920.500,1852,1842,157,157
13,18624,2395.000,1922.000,2318,1845,154,154
14,19365,2872.500,1929.500,2794,1851,157,157
15,18393,3340.500,1930.500,3264,1854,153,153
16,18393,1447.500,2387.500,1371,2311,153,153
17,19116,1919.000,2393.000,1841,2315,156,156
18,19116,2392.000,2396.000,2314,2318,156,156
19,17905,2865.500,2403.500,2790,2328,151,151
20,18624,3333.000,2400.000,3256,2323,154,154
21,17905,1444.500,2851.500,1369,2776,151,151
22,18168,1914.000,2859.000,1838,2783,152,152
23,19116,2385.000,2863.000,2307,2785,156,156
24,18168,2856.000,2867.000,2780,2791,152,152
25,17692,3319.000,2859.000,3244,2784,150,150
